Comment,Label,cluster
Sangatttt liattt biasaaaaaaa menyala Indonesia ku,,0
Bangga Indonesia.. selamat kak alffy . selalu memberikan karya luar biasa atas nama bangsa ..,,1
Langit memanggil nya tanah Nusantara.. aduuh.. merinding...,,0
Apa betul bang ini kisah tentang persiden kita pak jokowi selama 2periode betapa susah payah nya beliau membangun ikn untuk kita semu,,0
Keren Mas. Saya jadi terharu. Keren...❤,,0
persembahan karya terbaik untuk INDONESIA,,0
Luar biasa👍,,1
"Karya yang sangat memukau, selanjutnya warga Aceh , fauna contoh komodo di tampilkan kak, sekedar saran, terimakasih,..",,0
@alffy_rev  love you Alffy Rev ❤️,,0
Kereeeeen 😍😍😍,,0
Kenapa Once ya😢?,,0
Kenapa Once ya😢?,,0
https://www.youtube.com/watch?v=h9ejHZMu8pk,,0
"T-T apresiasi tiada henti dari kami, terlalu bagus hanya untuk dinikmati sendiri ❤🌹",,0
 @alffy_rev  yok bisa tranding ke satu,,0
Keren bg,,0
Teruslah untuk negara tercinta Indonesia...,,0
Harusnya Indonesia bangga punya orang seperti Alfy rev,,0
Congratulations.. you are doing wonderful job. It’s awesome,,0
"Bikin film aja bang, plissss",,0
"Salah satu karya anak bangsa yg membuat orang luar negeri iri sekaligus mencintai budaya dan sejarah panjang Indonesia🥰🥰,, terimakasih Alfvy Rev dkk,, dedikasi kalian benar2 membuka hati, pikiran dan mata kami bahwa mencintai negeri ini adalah sebuah kebanggaan yang tidak semua warga negara mampu untuk menunaikannya. #IndonesiaMaju",,0
KEREN BANGET MEGAHNYA MAHAKARYA MAHAL INI.. SUKSES SELALU UNTUK MU ALFFY REV DAN TEAM,,0
Terimakasih atas karya hebatnya ❤,,0
"Bang! Gw berharap di film nanti semua nyambung dari wonderland, beauty of bali, spirit of papua, dan the guardian of nusantara, jadi satu ke film nanti",,0
Karya yang luar biasa menyala Indonesiaku 👍❤️‍🔥❤️‍🔥❤️‍🔥,,1
"Lanjut terus bang. Hasilkan terus2 karya yang membangkitkan jiwa nasionalisme. Kebudayaan dan sejarah adalah bagian dari negeri ini. Jangan selesai sampai di sini. Jujur, saya pribadi sangat menanti karya dr bg Alffy & teman2. Setiap kali 17an, selain Upacara Bendera, postingan bg Alffy tentang Wonderful Indonesia sangat saya tunggu2.

Terimakasih bang, ini karya2 yang benar2 luar biasa.
Seperti berada di dalam negeri yang diimpikan. Nusantara yang dinanti. Visualnya keren, musik, dsb. Di kemas ke dalam sebuah karya luar biasa.

Semoga generasi sekarang dan selanjutnya lebih paham tentang sejarah, kebudayaan dan nasionalisme.

Teruskan bg teruskan.",,0
ahhh kerenn bgt sih ini ampe merindinggg liat karyanya,,0
"Menurutku ini karya paling bagus, keren Alffy Rev, membanggakan Indonesia🎉",,0
SIGER LAMPUNG TIDAK ADA,,0
Merinding keren bangett 😭💖💖,,0
Ditunggu BTS proses nya bro🥹🥰,,0
Kereeen banget bang alvy dan team... Semangat terus untuk melahirkan karya2 yg luar biasa,,0
Thankyou alffy dan tim atas kerja keras kerja cerdas kerja luarbiasa utk kado istimewa di HUT RI 79 ini.. Kami akan senantiasa support dan sll appreciate your masterpiece.. Smoga sll jd inspirasi anak muda dan mjd karya yg sll membanggakan dan melegenda.. Hats off,,0
❤❤❤❤,,0
"Alhamdulillah mantap👍👍
""Garuda Penjaga Nusantara""",,0
"Thanks alfy Jaya Indonesia ku, sangat terharu campur aduk perasaan menonton video ini, ada bangga, sedih mwmgharu biru, semoga allah memberi kesehatan untuk seluruh rakyat Indonesia, merdeka!!!!! Dirgahayu negeriku, tumpah darahku, allahu akbar!!!",,0
Lanjutkan anak muda,,0
"Terimakasih kk Alffy dan teman2 atas karya hebat ini. MaasyaaAllah betapa bangga ny kami tinggal di bumi Nusantara 😇. Udah berpuluh kali di putar tetap mewek😭😭. 
Dirgahayu indonesiaku Jayalah negeriku 🥰💪",,0
🥰 mantap jiwa,,0
"Tahun depan klo bsa masukin unsur dayak bg alfy biar terlihat akan kekayaan suku, budaya dan adat istiadat indonesia🙏",,0
" @alffy_rev  mantap euy, sehat selalu seluruh tim Alffy rev... ❤",,0
"Kita tunggu gebrakan selanjutnya..
Journey ekspedisi nusantara juga kita tunggu..
Dikota² selanjutnya...",,0
Luar biasa terimakasih telah membuat karya ini,,1
"Maaf.. 
Bangsa nusantara??? 

maafsebelumnya.. .. 😢",,0
"kak alffy terimakasih ya,sudah menyadarkan saya atas btpa berarti ny negri ini,,tk pernh tak mnteskn air mata saat saya mlihat video2 ini",,0
Terimakasih kk❤ tetap semangat berkarya 💪,,0
Kami akan support terus bang ❤❤❤ 🇮🇩 ga sabar liat yg berikutnya ✨✨✨🫡 Big Respect,,0
👍😎❤🇲🇨 karya istimewa ...,,0
Wow so Amaze 😍😍😍,,0
"Bangga luar biasa istimewa,meskipun pendek tapi menggambarkan hampir semua kehebatan nusantara.",,0
"sungguh karya luar biasa,yang terlahir dari tangan anak bangsa,kami seluruh rakyat indonesia dari sabang sampai marouke,mengucapkan terima kasih yang sedalam dalam nya,kepada seluruh pihak yang terkait

btw weapon yang di pake melambangkan anak bangsa stm banget,gokil gir berapi",,0
You are the best..thanks Alffy for Indonesia..,,0
Bang bikin film nya dong guardian Nusantara,,0
Ajak kolaborasi sutradara terbaik di Indonesia bang atau ajak rumah produksi terbaik Indonesia bang,,0
Terus berkarya alfy & team 🙏🙏,,0
"Luar biasaaaa karya2nya, salut dan bangga memiliki anak muda yg bertalenta seperti kalian",,0
Izin share🙏,,0
"Kalian terbaik, apresiasi yang tinggi buat semua yg terlibat di dalamnya",,0
Matursuwun mas alffy rev top mRkotop,,0
"Terimakasih atas karyanya yang membanggakan kang. Terus lanjut, selalu support dari belakang🔥🔥🔥",,0
Mantap 👍👍👍👍👍👍👍👍👍👍👍👍🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,,0
Terimakasih pen mewek perjuangan kalian Rev team luar biasa Allfy-linka dan team,,0
Wajib lanjut ke perjalanan selanjutnya....kami selalu mengapresiasinya🎉,,0
Gas kan bang 😢,,0
Memang effortku ga ky km kak alffy .. tp aku sudah berusaha share vidio ini di berbagai sosmedku .. walau tdk seberapa smga berkenan kak 🙏 hanya itu yg bsa ku bantu untuk menyebar luaskan karya indah ini🙏 terima kasih 🙏,,0
​ @Vanesha07 sayang turun ke 4 bukanya naik aneh,,0
"Merinding liat the guardian of nusantara,,,,, karya yg sangan sangat bangus semoga alffy dan team semakin sukses dan semakin semangat membuat karya nya...",,0
​ @gunadimahesa1715 yang nonton juga orang luar bang jadi biar mereka juga paham liat aja reaction Vidio ini banyak yang dari luar meski dari indo jg banyak,,0
kenapa gak ada sebut indonesia bang?,,0
"Terima kasih untuk mahakarya yang luar biasa, sudah 3 tahun ini. Selain upacara di Ibu kota negara yang selalu saya sediakan waktu untuk nonton. 



Karya dari mereka ini menjadi hal penting yang selalu saya tunggu....terima kasih🙏🏿🇲🇨❤",,0
𝕊𝕖𝕝𝕒𝕝𝕦 𝕟𝕠𝕟𝕥𝕠𝕟 𝕥𝕚𝕒𝕡 𝕥𝕒𝕦𝕟,,0
Bagus bgt,,0
Kerennnn,,0
Endingnya wow bener kah itu?,,0
MasyaAllah 😭❤,,0
"Share dong ,ini 2 juta berat amat 2 hari.",,0
"Waaaah,,,,,keren. Terima kasih tuk karya hebat ini ❤",,0
Jeg suuu apiiii wieee🙏🏻🙏🏻🙏🏻🙏🏻,,0
"Assalamualaikum Abang Alfy Rev...coba dong sumpah pemuda,aku tunggu sumpah pemuda 28 Oktober 2024...karena kmu puny bnyk cerita untuk di tuangkan di dlm film...✌️🇮🇩🇵🇸 @Alffy_rev #Alffyrev",,0
"Yg di tunggu"" Kak.. 🎉",,0
"Luar biasa sekali karya ini.selanjutnya mas alffy,ilustrasikan indonesia di jajah japan dan Belanda yang begitu lama sehingga datangnya sesosok pahlawan menyerukan perlawanan untuk mendapatkan kemerdekaan sendiri bukan dengan di tawarkan.",,0
"Mantap dan sangat buat haru akan cinta Indonesia berharap semua suku di tampilkan agar dunia tau Indonesia ini beragam tapi tetap satu
BHINNEKA TUNGGAL IKA 
DIRGAHAYU REPUBLIK INDONESIA KE 79",,1
Karya sekaligus mengingatkan kita untuk jang berpecah belah harus saling menghormati.dan genggam menggenggam.agar indonesia tetap bersatu bersama bineka tunggal Ika.❤❤,,0
"saya selalu menunggu hasil karyanya mas untuk indonesia, terimakasih selalu memberikan karya yang sangat bagus dan i dah serta penuh dengan makna di dalamnya",,0
"Satu kata, keren",,0
Hebaattt,,0
MERINDINGGGGGG 😭😭♥️♥️♥️♥️♥️♥️,,0
Terima kasih atas karya yg sangat megah bro,,0
"#TheGuardianofNusantara
Keren abis",,0
Kalian semua yang terlibat dalam Projects Luar biasa ini. KEREEEEEENNN,,1
"Sangat mengapresiasi Jawa Nasional mu bang Alvi,,,kalau ada waktu Ke Maluku Utara,,Misteri Garuda Pasti Terpecahkan",,0
Up trending naik ke 3 lagi,,0
Udah ku share kesemuanya medsos semampu ku,,0
Terimakasih persembahannya sehat selalu dan sukses selalu sang inspirasi,,0
Karyamu selalu tidak pernah mengecewakan,,0
" @alffy_rev  mohon maaf sebelumnya 🙏 sy sekedar mengusulkan kalau bisa baju atau pakaian yang di gunakan dlm cerita ini memakai baju atau pakaian adat dari sabang sampai meroke jgn hanya terlihat pakaian adat bali saja,soalnx dlm cerita ini tentang Nusantara.🙏",,0
Iklan marjan ramadhan 2025,,0
"Berbagai warisan leluhur Nusantara msh banyak yg blm tergali dan dipahami oleh khalayak. Melalui karya sinematografi spt ini, dpt memancing keingintahuan guna menelisik lbh jauh karya2 agung para leluhur di berbagai bidang. Selamat atas upayanya untuk mengejawantahkan warisan leluhur dlm sebuah karya yg mudah untuk dimengerti dan dipahami segenap anak bangsa. Trm ksh.",,0
"mantap sungguh membanggakan ka allfy rev ,bawa warisan nusantara pada",,0
 @alffy_rev  selamat mlm,,0
"Sya berdoa semoga alffy,linka dan team selalu dalam lindungan Allah....semoga kalian sehat dan bahagia terus agar bisa terus dan terus berkarya semangat cinta akan pada negara dan sejarah negara ini😢kami berharap dan menyaksikan dan menjadi saksi sebuah perjalanan karya² indahmu.❤",,0
"Seharusnya pas waktu tangan berubah 
Pada saat itu juga mata Atornya juga berubah menjadi mata GARUDA❤
Seakan akan ada Roh Garuda yang mrnyala nyala di tubuh sang aktor layaknya Susano'o yang ada di tubuh Itachi 
Mauapun Roh Kurama/Kyubu di tubuh Naruto di Anime Naruto",,0
Terbaikkkk...,,0
"Terimakasih banyak atas kerja keras kalian, semoga terbayarkan dengan hal-hal indah lainnya❤🎉 dan semoga nama kalian mendunia. Amin❤",,0
Bikin terharu betapa agungnya sejarah nusantara ( indonesia ) ...terima kasih alfy rev..🙏🙏🙏,,0
Mantaap gokil bang,,0
Keren bnget…..,,0
Keren bgt ❤❤❤,,0
Respect keren bang,,0
"We are great nation 
The nation of Garuda ❤",,0
"Kerennnnn 🔥🔥🔥 Alfyrev tidak pernah gagal. 
Patut dapat apresiasi dari semua warga negara Indonesia.",,0
bang gue mau lu garap project rewind 2024,,0
Mantap bro n team! Terima kasih suguhan indah dan epic-nya! Alhamdullillah,,0
"Jika Nusantara adalah sebuah nama,maka apalah arti perjuangan selama ini.bukan tentang lahirnya,tapi tentang pengharapannya.Garuda telah tiada,pahlawan telah gugur,tapi ideologi dan norma akan perjuangan tetap selalu ada dan semakin tumbuh menjadi Indonesia yg lebih kuat,bermartabat,dan di cintai oleh  dunia.Sang pemimpi pernah memimpin sebelum mati,sang pencipta pernah gagal sebelum di puncak,seterusnya kita bangsa Indonesia akan jadi bangsa yang Di  rindukan kisahnya oleh para leluhur di seluruh negara.Selamat ulang tahun indonesia Raya.",,0
Keren mas Alffy,,0
Terima kasih bang Rev atas karyanya semoga menjadi musisi yang sukses moga sehat selalu,,0
Terima kasih untuk sebuah karya yang sangat menakjubkan,,0
"Konten indah, tak seindah viewers nya,, 

Ayooo viralkan",,0
" @alffy_rev  doa yang terbaik buat seluruh tim Alffy rev,atas mahakarya the guardian of Nusantara sehat selalu, lancar keun rezekinya, semoga anak anak penerus bangsa tetap lahir dan membanggakan juga mengharumkan nama baik Indonesia,🙏",,0
terimakasih ❤,,0
Thanks mas alffy,,0
"Bang alffy karyamu memang luar biasa bang, bangga saya bisa menikmati setiap karya²mu bang, semangat terus bang alffy dalam berkarya, next project bang kalo boleh usul feat weird genius bang, colaborasi dari musik nya juga bang.. terimakasih bang, salam satu nusa satu bangsa satu bahasa ""indonesia"" 🙏🙏",,0
"lanjutkan bang, kami Tunggu Wonderland Indonesia 3",,0
"Biasanya setiap Agustus, video kak Alffy selalu aku kasih lihat ke bapak, krn bapak suka smaa karya2 kak alfy, dari mulai Wonderland sampe lihat2 video vlog nya. Namun kini 2024 bapak sudah g ada, sudah tenang disnaa.. 😢😢😢❤❤❤ rindu pamer karya kak Alffy ke bapak.",,0
Nusantara lambang garuda adalah keragaman indonesia 👍,,0
Terimakasih🙏 kk alffy sepenuh hati kita mendukung karya dan kinerja mu❤,,0
"Terimakasih SDH menciptakan hsl karya yg sgt spectacular, dirgahayu RI - 79 , merdeka !!!!",,1
"Trimksh @allfy_rev sdh menciptakan hsl karya yg sgt agung & spectacular, sungguh luar biasa & sgt mengagumkan. Terus lah berkarya tanpa batas, semangat!!!!",,0
Kereen KAKA,,0
❤,,0
❤❤🎉🎉,,0
Terbaik 🎉,,0
"Bravo Alffy Rev... Teruslah berkarya. Kami bangga terhadap karya-karya yang anda hasilkan. Anda turut mengharumkan nama bangsa Indonesia di mata dunia. Banyak reactor luar negeri yang mereact video anda.

Terima kasih Indonesia yang telah melahirkan anak bangsa yang satu ini... 

MERDEKA INDONESIAKU... 

MERDEKA....",,0
